track_id,rmd_zone_name,trigger_count,object_class,weekday,date,time,duration,enter_direction,enter_azimuth,exit_direction,exit_azimuth,min_speed,avg_speed,max_speed,speed_delta,alarm
2579,Scenario 1,20,Vehicle,Thu,2024-05-09,17:30:21.223141,6.11,departing,356,rightwards,108,5.40,43.20,50.40,-38.70,1
2602,Scenario 1,20,Vehicle,Thu,2024-05-09,17:30:25.134327,9.66,departing,2,departing,356,45.90,49.50,51.30,4.50,1
2612,Scenario 1,20,Vehicle,Thu,2024-05-09,17:30:27.533465,3.30,departing,0,departing,350,47.70,48.60,48.60,0.00,1
2621,Scenario 1,21,Human,Thu,2024-05-09,17:30:32.341061,5.57,approaching,183,approaching,179,3.60,4.50,5.40,0.00,0
2624,Scenario 1,21,Vehicle,Thu,2024-05-09,17:30:35.607115,8.42,approaching,174,approaching,200,34.20,46.80,47.70,-13.50,1
2626,Scenario 1,21,Vehicle,Thu,2024-05-09,17:30:35.712884,5.70,departing,9,departing,355,41.40,45.00,47.70,3.60,1
2642,Scenario 1,21,Human,Thu,2024-05-09,17:30:40.109562,2.81,departing,349,approaching,207,1.80,4.50,8.10,-3.60,0
2645,Scenario 1,22,Vehicle,Thu,2024-05-09,17:30:43.122681,3.11,departing,352,departing,352,46.80,46.80,46.80,0.00,1
2646,Scenario 1,21,Unknown,Thu,2024-05-09,17:30:43.220777,1.00,departing,4,rightwards,73,5.40,17.10,45.90,-40.50,0
2653,Scenario 1,22,Vehicle,Thu,2024-05-09,17:30:44.223179,8.73,departing,0,departing,354,46.80,49.50,50.40,0.00,1
2660,Scenario 1,22,Vehicle,Thu,2024-05-09,17:30:45.527011,9.32,departing,356,departing,355,48.60,51.30,53.10,-0.90,1
2680,Scenario 1,22,Human,Thu,2024-05-09,17:30:48.828521,4.62,approaching,164,approaching,176,3.60,4.50,7.20,-1.80,0
2685,Scenario 1,22,Vehicle,Thu,2024-05-09,17:30:51.441405,7.66,approaching,172,approaching,200,36.00,51.30,54.00,-14.40,1
2686,Scenario 1,22,Vehicle,Thu,2024-05-09,17:30:52.144921,5.11,departing,8,departing,357,43.20,51.30,63.00,7.20,1
2694,Scenario 1,23,Human,Thu,2024-05-09,17:30:55.341959,19.19,approaching,155,departing,1,2.70,6.30,44.10,39.60,0
2702,Scenario 1,23,Vehicle,Thu,2024-05-09,17:30:58.502572,2.80,departing,353,departing,352,52.20,52.20,52.20,0.00,1
2713,Scenario 1,24,Vehicle,Thu,2024-05-09,17:31:12.731089,12.77,departing,0,departing,351,27.00,37.80,50.40,-0.90,1
2721,Scenario 1,24,Human,Thu,2024-05-09,17:31:15.336862,7.06,approaching,165,approaching,179,2.70,4.50,6.30,0.00,0
2732,Scenario 1,25,Vehicle,Thu,2024-05-09,17:31:42.834245,5.01,approaching,180,approaching,178,58.50,62.10,63.90,-3.60,1
2732,Scenario 1,25,Vehicle,Thu,2024-05-09,17:31:47.896974,0.11,approaching,189,approaching,189,41.40,41.40,41.40,0.00,0
2737,Scenario 1,26,Vehicle,Thu,2024-05-09,17:31:49.509497,9.41,departing,352,departing,337,24.30,32.40,41.40,-17.10,1
2741,Scenario 1,26,Vehicle,Thu,2024-05-09,17:31:49.509497,5.60,approaching,177,approaching,195,42.30,54.00,57.60,-9.00,1
2782,Scenario 1,27,Vehicle,Thu,2024-05-09,17:32:13.896822,6.52,approaching,175,approaching,193,34.20,51.30,53.10,-16.20,1
2783,Scenario 1,27,Vehicle,Thu,2024-05-09,17:32:15.208597,7.92,departing,2,departing,353,54.90,60.30,61.20,5.40,1
2801,Scenario 1,28,Vehicle,Thu,2024-05-09,17:32:22.321495,9.81,departing,4,departing,353,43.20,49.50,54.00,-5.40,1
2817,Scenario 1,28,Vehicle,Thu,2024-05-09,17:32:27.032655,8.21,departing,358,departing,357,55.80,57.60,59.40,0.90,1
2835,Scenario 1,29,Vehicle,Thu,2024-05-09,17:32:39.005591,10.12,departing,359,departing,354,45.00,47.70,48.60,0.90,1
2861,Scenario 1,30,Vehicle,Thu,2024-05-09,17:32:49.528446,11.67,departing,360,departing,359,37.80,41.40,43.20,5.40,1
2878,Scenario 1,30,Vehicle,Thu,2024-05-09,17:32:57.149852,9.66,departing,2,departing,352,41.40,49.50,52.20,10.80,1
2891,Scenario 1,30,Vehicle,Thu,2024-05-09,17:32:59.248784,9.96,departing,9,departing,346,38.70,48.60,51.30,12.60,1
2914,Scenario 1,31,Vehicle,Thu,2024-05-09,17:33:11.118266,7.62,approaching,177,approaching,178,47.70,51.30,52.20,-3.60,1
2919,Scenario 1,32,Vehicle,Thu,2024-05-09,17:34:10.794280,6.12,approaching,176,approaching,207,45.90,63.00,64.80,-15.30,1
2936,Scenario 1,34,Vehicle,Thu,2024-05-09,17:34:19.022002,8.41,departing,1,departing,354,53.10,56.70,57.60,0.90,1
2949,Scenario 1,34,Vehicle,Thu,2024-05-09,17:34:25.631849,10.07,departing,5,departing,353,42.30,46.80,49.50,5.40,1
2977,Scenario 1,34,Vehicle,Thu,2024-05-09,17:34:30.736218,6.06,approaching,178,approaching,204,38.70,52.20,53.10,-13.50,1
2984,Scenario 1,35,Vehicle,Thu,2024-05-09,17:34:47.227420,11.52,departing,4,departing,351,37.80,42.30,44.10,4.50,1
2991,Scenario 1,35,Unknown,Thu,2024-05-09,17:34:49.024509,0.50,departing,354,departing,354,84.60,84.60,84.60,0.00,0
3013,Scenario 1,36,Vehicle,Thu,2024-05-09,17:34:58.746222,9.26,departing,6,departing,352,45.90,52.20,54.00,8.10,1
3027,Scenario 1,37,Vehicle,Thu,2024-05-09,17:35:14.031499,9.31,departing,5,departing,354,44.10,52.20,54.00,8.10,1
3038,Scenario 1,37,Vehicle,Thu,2024-05-09,17:35:18.435682,7.46,departing,7,departing,354,44.10,54.90,58.50,13.50,1
3053,Scenario 1,37,Vehicle,Thu,2024-05-09,17:35:23.441164,5.36,approaching,172,approaching,189,46.80,54.90,56.70,-7.20,1
3064,Scenario 1,38,Vehicle,Thu,2024-05-09,17:35:32.615226,10.01,departing,359,departing,359,46.80,47.70,51.30,-1.80,1
3080,Scenario 1,39,Vehicle,Thu,2024-05-09,17:36:00.724079,14.57,departing,2,departing,350,31.50,33.30,37.80,0.00,1
3108,Scenario 1,40,Vehicle,Thu,2024-05-09,17:36:32.225157,6.92,approaching,175,approaching,211,34.20,54.00,55.80,-21.60,1
3109,Scenario 1,40,Vehicle,Thu,2024-05-09,17:36:35.032375,8.12,approaching,178,approaching,191,45.90,52.20,54.00,-4.50,1
3122,Scenario 1,41,Vehicle,Thu,2024-05-09,17:36:50.911821,5.92,approaching,172,approaching,177,49.50,54.00,54.90,-4.50,1
3122,Scenario 1,41,Vehicle,Thu,2024-05-09,17:36:56.925381,0.10,approaching,209,approaching,209,30.60,30.60,30.60,0.00,0
3126,Scenario 1,42,Vehicle,Thu,2024-05-09,17:37:05.853140,10.86,departing,5,departing,354,39.60,44.10,49.50,9.90,1
3155,Scenario 1,42,Vehicle,Thu,2024-05-09,17:37:12.508342,4.91,departing,355,departing,353,57.60,58.50,59.40,0.00,1
3163,Scenario 1,43,Vehicle,Thu,2024-05-09,17:37:47.731991,9.96,departing,4,departing,353,41.40,47.70,49.50,7.20,1
3172,Scenario 1,43,Vehicle,Thu,2024-05-09,17:37:53.540870,25.40,departing,9,rightwards,77,0.00,9.90,18.90,7.20,1
3192,Scenario 1,43,Vehicle,Thu,2024-05-09,17:38:02.003423,5.82,approaching,172,approaching,186,49.50,62.10,64.80,-11.70,1
3216,Scenario 1,43,Vehicle,Thu,2024-05-09,17:38:14.938292,10.57,departing,11,departing,349,36.90,43.20,50.40,0.90,1
3241,Scenario 1,44,Vehicle,Thu,2024-05-09,17:38:24.055005,3.96,departing,7,departing,359,44.10,49.50,51.30,4.50,1
